date,open,high,low,close,volume
2014-12-31,112.8199997,113.1299973,110.20999909999999,101.4190598,41403400
2015-01-02,111.3899994,111.4400024,107.34999850000001,100.45429990000001,53204600
2015-01-05,108.29000090000001,108.65000149999999,105.4100037,97.62433624,64285500
2015-01-06,106.54000090000001,107.4300003,104.6299973,97.63354492,65797100
2015-01-07,107.1999969,108.1999969,106.6999969,99.00255585,40105900
2015-01-08,109.2300034,112.15000149999999,108.6999969,102.8064804,59364500
2015-01-09,112.66999820000001,113.25,110.20999909999999,102.9167252,53699500
2015-01-12,112.59999850000001,112.6299973,108.8000031,100.3807907,49650800
2015-01-13,111.4300003,112.8000031,108.9100037,101.272049,67091900
2015-01-14,109.04000090000001,110.4899979,108.5,100.88615420000001,48956600
2015-01-15,110.0,110.0599976,106.6600037,98.14805603,60014000
2015-01-16,107.02999879999999,107.58000179999999,105.1999969,97.38544464,78513300
2015-01-20,107.8399963,108.97000120000001,106.5,99.89382172,49899900
2015-01-21,108.9499969,111.0599976,108.2699966,100.6564407,48575900
2015-01-22,110.2600021,112.47000120000001,109.72000120000001,103.2750626,53796400
2015-01-23,112.3000031,113.75,111.52999879999999,103.807991,46464800
2015-01-26,113.7399979,114.3600006,112.8000031,103.9182281,55615000
2015-01-27,112.41999820000001,112.4800034,109.02999879999999,100.2797165,95568700
2015-01-28,117.6299973,118.1200027,115.3099976,105.94882199999999,146477100
2015-01-29,116.3199997,119.1900024,115.5599976,109.24739070000001,84436400
2015-01-30,118.40000149999999,120.0,116.84999850000001,107.6486435,83745500
2015-02-02,118.0500031,119.16999820000001,116.08000179999999,108.99929809999999,62739100
2015-02-03,118.5,119.0899963,117.6100006,109.0176544,51915700
2015-02-04,118.5,120.5100021,118.3099976,109.85380549999999,70149700
2015-02-05,120.0199966,120.2300034,119.25,110.63788600000001,42246200
2015-02-06,120.0199966,120.25,118.4499969,109.7061996,43706600
2015-02-09,118.5500031,119.8399963,118.4300003,110.4349442,38889800
2015-02-10,120.16999820000001,122.15000149999999,120.1600037,112.5565567,62008500
2015-02-11,122.7699966,124.91999820000001,122.5,115.19474790000001,73561800
2015-02-12,126.0599976,127.4800034,125.5699997,116.6521988,74474500
2015-02-13,127.27999879999999,127.27999879999999,125.65000149999999,117.22412109999999,54272200
2015-02-17,127.4899979,128.88000490000002,126.91999820000001,117.9159622,63152400
2015-02-18,127.6299973,128.7799988,127.4499969,118.73694609999998,44891700
2015-02-19,128.4799957,129.0299988,128.3300018,118.4878693,37362400
2015-02-20,128.61999509999998,129.5,128.0500031,119.4564438,48948400
2015-02-23,130.0200043,133.0,129.6600037,122.6849747,70974100
2015-02-24,132.9400024,133.6000061,131.1699982,121.91935729999999,69228100
2015-02-25,131.5599976,131.6000061,128.1499939,118.80149080000001,74711700
2015-02-26,128.7899933,130.86999509999998,126.6100006,120.3050842,91287500
2015-02-27,130.0,130.5700073,128.2400055,118.49711609999999,62014800
2015-03-02,129.25,130.2799988,128.3000031,119.07823940000002,48096700
2015-03-03,128.9600067,129.5200043,128.0899963,119.32729340000002,37816300
2015-03-04,129.1000061,129.5599976,128.3200073,118.57088470000001,31666300
2015-03-05,128.5800018,128.75,125.7600021,116.60609440000002,56517100
2015-03-06,128.3999939,129.36999509999998,126.2600021,116.78134920000001,72842100
2015-03-09,127.95999909999999,129.5700073,125.0599976,117.2794571,88528500
2015-03-10,126.4100037,127.22000120000001,123.8000031,114.8534317,68856600
2015-03-11,124.75,124.7699966,122.1100006,112.7595139,68939000
2015-03-12,122.3099976,124.90000149999999,121.6299973,114.79810330000001,48362700
2015-03-13,124.40000149999999,125.40000149999999,122.58000179999999,114.0047913,51827300
2015-03-16,123.8799973,124.9499969,122.8700027,115.2593155,35874300
2015-03-17,125.90000149999999,127.3199997,125.65000149999999,117.187233,51023100
2015-03-18,127.0,129.1600037,126.3700027,118.5063095,65270900
2015-03-19,128.75,129.25,127.40000149999999,117.6115646,45809500
2015-03-20,128.25,128.3999939,125.1600037,116.1356506,68695100
2015-03-23,127.1200027,127.84999850000001,126.5199966,117.34403229999998,37709700
2015-03-24,127.2300034,128.0399933,126.5599976,116.8643646,32842300
2015-03-25,126.54000090000001,126.8199997,123.3799973,113.81109620000001,51655200
2015-03-26,122.7600021,124.8799973,122.59999850000001,114.60439299999999,47572900
2015-03-27,124.5699997,124.6999969,122.9100037,113.69116969999999,39546200
2015-03-30,124.0500031,126.40000149999999,124.0,116.5692062,47099700
2015-03-31,126.0899963,126.4899979,124.3600006,114.77964779999999,42090600
2015-04-01,124.8199997,125.1200027,123.09999850000001,114.6136017,40621400
2015-04-02,125.02999879999999,125.5599976,124.1900024,115.6006165,32220100
2015-04-06,124.47000120000001,127.5100021,124.33000179999999,117.4731903,37194000
2015-04-07,127.6399994,128.11999509999998,125.9800034,116.2371216,35012300
2015-04-08,125.84999850000001,126.40000149999999,124.97000120000001,115.85890959999999,37329200
